content,content_processed
welcome,welcome
thanks,thanks
prototype psf material phase inversion process biological surfactant cnt performs well terms blood cell reactivity,prototype psf material phase inversion process biological surfactant 1 cnt perform well term blood cell activity
joe good prototype test,joe good prototype test
ok mock onm ewith specifications,ok mock onm specification
believe joe already mocked,believe joe already mock
yet get right,not_yet get right
created one called blood cell reactivity,create one call blood cell activity
okay thank shane,okay thank shane
caliope good ideas contribute,caliope good idea contribute
psf vapor manufacturing process hydrophillic surfactant cnt would prototype focused reliability caliope anyone else another idea please disregard,psf vapor manufacturing process hydrophillic surfactant 1 5 cnt would prototype focus reliability caliope anyone else another idea please disregard
everyone else okay,everyone else okay
made batch named batch,just make batch name batch 1
feel free make adjustments,feel free make adjustment
went caliope design instead joe design,go caliope 's design instead joe 's design
everything okay,everything okay
everything looks good,everything look good
good job team look forward working guys future really know work well together,good job team look forward work gun future really know work well together
wholeheartedly concur,wholeheartedly concur
received lab results internship analyze write findings remember difficult first couple times posted one old lab shared space reference remember analysis include important information concise alex want able find key points analysis quickly,receive lab result internship analyze write finding remember difficult first couple time post one old lab write ups shared space reference just remember analysis include important information concise well organize alex want able find key point analysis quickly
please see meeting summary example posted shared space earlier internship need example notebook,please see meeting summary example post shared space earlier internship need example notebook
okay everyone let get going want hear meeting,okay everyone let us get go want hear meeting
good afternoon everyone,good afternoon everyone
good afternoon,good afternoon
team received batch results successful trial,team receive batch result successful trial
think batch successful prototype expected,think batch successful prototype expect
successful trial gave us useful insight deciding best membrane combination use,successful trial give us useful insight decide best membrane combination use
trial successful many aspects different devices showcased certain aspects devices still able compared,trial successful many aspect different device showcased certain aspect device still able compare
feel successful well surprised many prototypes rate blood cell reactivity thought would wider range,feel successful well surprised many prototype same rate blood cell activity think would wider range
certain prototypes ranked higher aspects others showing differentiation within prototypes,certain prototype rank higher aspect others show differentiation within prototype
five categories tested going useful choose best prototype,five category test go useful choose best prototype
agree devices created inform us certain parameters affected attributes,agree device create inform us certain parameter affect attribute
different prototypes inform specific design parameters example group device cheapest produce also lowest marketability,different prototype inform specific design parameter example group device 1 cheap produce also low marketability
decide devices received results,decide 5 device just receive result
group discussion mutually chose prototypes used,group discussion mutually choose prototype use
tried optimize prototype certain attributes,try optimism prototype certain attribute
came ideas shared rest group collaborated come prototype everyone could agree,come idea share rest group collaborate come prototype everyone could agree
example prototype one meant perform best overall attributes,example prototype one mean perform best overall attribute
group decided attributes would pertinent creating prototype altered different variables,group decide attribute would permanent create prototype alter different variable
hard please everyone comes creating device multiple parameters come comprises made,hard please everyone come create device multiple parameter come comprise make
yes would agree possible meet every consultants expectations designs created specific attributes mind,yes would agree not_possible meet every consultant expectation design create specific attribute mind
decided specific attributes focus tried optimize attributes rather create prototype consultant,decide specific attribute focus try optimism attribute rather create prototype consultant
would agree group decide whether certain attributes less desirable attempt maximize attributes still completely ignoring lesser ones,would agree group decide whether certain attribute less desirable attempt minimize attribute still not_completely ignore less one
discussed possible prototypes weighed reliability flux heavily aspects,discuss possible prototype weigh reliability flux heavily aspect
soon switching teams sharing design experience new teams plan bring group,soon twitch team share design experience new team plan bring group
experiance knowing parameters worked best cnt,experience know parameter work best cnt
plan sharing knowledge gained experimenting different prototypes prototypes worked successfully material given,plan share knowledge gain experiment different prototype prototypes work successfully material give
referring psf membrane cnt,refer psf membrane not_cnt
agree bring knowledge psf material new teams,agree bring knowledge psf material new team
plan using extensive research along batch results compare groups collaborate upon material would allow effective prototype possible,plan use extensive research along batch result compare group collaborate upon material would allow effective prototype possible
yes right,yes right
yes correct,yes correct
yes also share material worked attributes tested,yes also share material work attribute test
yes right job new teams knowledge experience psf material effects,yes right job new team knowledge experience psf material effect
well time meeting,well time meeting
good discussion today forget complete submit notebook,good discussion today not_forget complete submit notebook
pleasure working,pleasure work
reminder last time meeting current team next time new design teams may new design advisor new team glad opportunity work though,just reminder last time meet current team next time new design team may new design adviser new team glad opportunity work though
hello team welcome nephrotex,hello team welcome nephrotex
maria williams design advisor internship,maria williams design adviser internship
help questions,help question
please introduce name prefer called workpro records work review external consultant improve quality internship program ask use first name internship protect privacy,please introduce name prefer call workpro record work review external consultant improve quality internship program ask use first name only internship protect privacy
please check deliverable list bottom right corner workpro,please check deliverance list bottom right corner workpro
deliverables assigned show list able check see original email instructions alex sent whether submitted deliverable whether vedant approved deliverable,deliverable assign show list able check see original email instruction alex send whether submit deliverance whether vedant approve deliverance
detailed information deliverable list click info button top right corner deliverables list tab,detailed information deliverance list click button top right corner deliverables list tab
provided summary workflow resource shared space plagiarism tolerated make sure paraphrase summary notebook entry,provide summary workflow resource shared space plagiarism not_tolerated make sure paraphrase summary notebook entry
done notebook entry submit alex clicking submit button middle notebook window,notebook entry submit alex click submit button middle notebook window
wo able edit entry submitted need update correct work cancel submission clicking x deliverables list,not_be able edit entry submit need update correct work cancel submission click x deliverables list
cancel submissions alex viewed make sure included everything required submitting,only cancel submission alex view make sure include everything require submit
please pay close attention citation methods used example know alex stickler following correct citation methods,please pay close attention citation method use example know alex stickler follow correct citation method
check shared space dialysis notebook,check share space dialysis notebook
hey group,hey group
hey,hey
lets,let us
got,get
time get started need everyone participate meeting,time get start need everyone participate meeting
based surfactant graph surfactants perform relative one another,base surfactant graph surfactant perform relative one another
feel best surfactant use hemodiaylzer steric hindering option,feel best surfactant use hemodiaylzer steric hindering option
agree performed well nearly categories best marketability,agree perform well nearly category best marketability
data presented option high better average scale desirability,data present option high good average average 3 5 scale desirability
option however second costly feel positives weigh con,option however second costly feel positive weigh con
perform best categories surfactant pros cons average performed better options,not_perform best category surfactant pro con average perform well option
also recommended steric hindering surfactant best combination five attributes looking surfactant,also recommend steric hindering surfactant best combination five attribute look surfactant
negative charge option proved average scoring three categories besides control however little currency steric hindering available better results,negative charge option prove average score three category besides control however little currency steric hindering available good result
nooo,nooo
steric hindering performed best,steric hindering perform best
categories neither options tested steric hindering best,not_have 5 category neither option test steric hindering best
agree,agree
every single surfactant option performed better surfactant surfactants steric hindering option best overall,no_every single surfactant option perform good no_surfactant surfactant steric hindering option best overall
yes,yes
wait word differently understand saying,wait word differently not_understand say
maria,maria
yes,yes
flux set control variable still balanced,flux set control variable still balance 4
yes,yes
sure,sure
team next step,team 's next step
research steric hindering option get data,research steric hindering option get data
order finalize choice,order finalize choice
summarize agree conclusions notebook,summarize agree conclusion notebook
general notebook shared space mostly completed still room editing,general notebook shared space mostly complete still room edit
would agree,would agree
well time meeting,well time meeting
good discussion today forget complete submit notebook,good discussion today not_forget complete submit notebook
yes next step design process,yes next step design process
hey everyone posted mechanical engineering consultants requirements time intern find shared space,hey everyone just post write mechanical engineering consultant ' requirement time inter find write shared space
nephrotex internal consultants experts fields,nephrotex internal consultant expert field
let know questions requirements membrane design,let know question requirement membrane design
probably want check staff pages information,probably want check staff page information
notebook received yet deadline expire please finish deliverable submit,notebook not_been receive yet deadline expire please finish deliverance submit
take look rudy hernandez consultant research,take look rudy hernandez consultant research
ok look alan duchamp consultant,ok look alan duchamp consultant
base research internal resources,base research internal resource
remember need consider assigned material,remember only need consider assign material
research padma rao consultant,research padma rao consultant
research michelle proctor consultant,research michelle proctor consultant
mean manufacturing process information held,mean manufacture process information hold
mean cnt,mean cnt
carbon nanotubes,carbon nanotube
guys finished first notebook click shared space see effects cnt,gun finish first notebook click share space see effect cnt
guys want go selecting prototypes testing,gun want go select prototype test
alright lets get batch going,alright let us get batch go
go making batch,go make batch
, 
select experimental devices put feeds,select 5 experimental device put feeds
make batch group prototypes created,make batch group prototype create
pick one produces high flux lowest price lowest blood reactivity levels etc,pick one produce high flux low price low blood activity level etc
would make justification easily said alex prototypes set like noticed,would make justification easily say alex prototype set like notice
say low flux one since best reliability within good cost range,say low flux 2 one since best reliability within good cost range
yea think would simplest way could make new prototypes well rounded five attributes,yea think would simple way could make new prototype well round five attribute
think making well rounded sounds like good idea,think make well round sound like good idea
rickie prototype carbon tubes resources said produced best results surfactant,rickie prototype 10 carbon tube resource say 2 produce best result surfactant
oops hold ill upload revised one,oops hold ill unload revised one
think need one,think need one
alex literally made prototypes optimized specific characteristic think use least three maybe two others rounded characteristics,alex literally make prototype optimize specific characteristic think use least three maybe two others rounded characteristic
would give nice spread batch,would give nice spread batch
ah see looks good,ah see look good
like think alex marketability reliability blood cell reactivity models included,like think alex 's marketability reliability blood cell activity model include
yeah think one optimized characteristic,yeah think just one optimize characteristic
important characteristics,important characteristic
okay two well rounded prototypes use,okay two well rounded prototype use
prototype smack middle best surfactant steric hinderance,prototype 1 smack middle best surfactant steric hindrance
forget attach team new batch notebook,not_forget attach team 's new batch notebook
alex upload design specifications server submit justifications member team needs attach submit batch testing first team member attaches submits team batch rest team members option attach batch,alex unload design specification server submit justification member team need attach submit same batch test first team member attache submits team 's batch rest team member only option attach same batch
good performance nice flux rate,good performance nice flux rate
okay sounds good need one,okay sound good need one
good ideas,good idea
rickie low flux,rickie 's low flux 2
cnt,10 cnt
yep one best reliability cost,yep one best reliability cost
,no_with 2 0
none,none_with 2
mine says low flux revised,mine say low flux 2 revise
okay ill make batch,okay ill make batch
okay batch,okay batch
prototype best attributes,prototype 1 's best attribute
uses best surfactant chose great flux rate reliability,use best surfactant choose great flux rate reliability
real quick guys internal consultant second notebook,real quick gun internal consultant second notebook
mine alan duchamp,mine alan duchamp
padma rao,padma rao
rudy hernandez,rudy hernandez
michelle proctor,michelle proctor
received lab results internship analyze write findings remember difficult first couple times posted one old lab shared space reference remember analysis include important information concise alex want able find key points analysis quickly,receive lab result internship analyze write finding remember difficult first couple time post one old lab write ups shared space reference just remember analysis include important information concise well organize alex want able find key point analysis quickly
time get started need everyone participate meeting,time get start need everyone participate meeting
mark reporting duty,mark reporting duty
ready,ready
team received batch results successful trial,team receive batch result successful trial
would say think got lot good information tests,would say think get lot good information test
feel successful trial prototypes performed well aspects focus prototypes clearly best fit marketplace easily seen positives negatives lie device,feel successful trial prototype perform well aspect focus prototype clearly not_the best fit marketplace easily see positive negative lie device
believe graph created really helps putting prototypes perspective time,believe graph create really help put 5 prototype perspective same time
agree easy see strengths weaknesses prototype,agree easy see strength weakness prototype
feel reliability device useful attribute like feel extremely important success device,feel reliability device useful attribute like feel extremely important success device
membrane last longer means less appointment times treatments,membrane last longer mean less appointment time treatment
true think features equally important,true think feature equally important
think product well failed attributes,think product not_do well fail attribute
even cost high attributes great still failure,even cost high attribute great still failure
feel flux important means patient would shorter appointment times would less hindrance lives also think cost low reliability flux blood cell reactivity levels good prototype would become marketable simply works,feel flux important mean patient would short appointment time would less hindrance life also think cost low reliability flux blood cell activity level good prototype would become marketable simply work
price high enough one could reasonably afford would say failure,price high enough no_one could reasonably afford would say failure
opinion attributes room slightly better worse comes blood cell reactivity perhaps risking patients live blood cell reactivity attributes needs finest,opinion attribute room slightly well bad come blood cell activity perhaps risk patient ' live blood cell activity attribute need fine
feel cost least important since usually get pay last worries since attributes effect overall satisfaction customer,feel cost least important since usually get pay last worry since attribute effect overall satisfaction customer
attributes like bcr flux reliability crucial,attribute like bcr flux reliability crucial
true guess depends drastic price swing different models,true guess depend drastic price swing different model
well batch range,well batch range 20
huge problem,not_a huge problem
either way price realistically greater something sure anyone would gladly accept cost means access dozens free hours,either way price realistically 2000 great something sure anyone would gladly accept cost mean access dozen free hour
agreed,agree
yes would agree factors went making prototypes direct effect final product price flux reliability etc,yes would agree factor go make prototype direct effect final product 's price flux reliability etc
decide devices received results,decide 5 device just receive result
think best batch moment alex bcr device low reliability highest flux patient would long anyway,think best batch moment alex 's bcr device low reliability high flux patient would not_have long anyway
agree mark since device desirable blood cell reactivity far,agree mark since device desirable blood cell activity far
agree performed really well bcr flux,agree perform really well bcr flux
even marketability model great,even marketability model great
costly reduces hours given flux much shorter time patient waiting prototype easily pay,costly reduce 75 5 hour give flux much short time patient wait prototype easily pay
able meet internal consultant price range prototypes expensive required standards,not_able meet internal consultant 's price range prototype expensive required standard
results reliability marketability flux blood cell reactivity exceeded met expectations,result reliability marketability flux blood cell activity exceed meet expectation
reliability bcr model meet internal consultants optimum value meet cost value attributes however blew internal consultants away device particular,reliability bcr model not_meet internal consultant opium value meet cost value attribute however blow internal consultant away device particular
pam expensive material seems,pam just expensive material seem
yes,yes
yes would agree,yes would agree
would agree meet optimum values least one attribute would take big fall fall justified positives attributes,would agree meet opium value least one attribute would take big fall fall justify positive attribute
soon switching teams sharing design experience new teams plan bring group,soon twitch team share design experience new team plan bring group
plan show graph detailed reason chose bcr prototype,plan show graph detailed reason choose bcr prototype 5
bcr flux reliability important attributes focus designing device,bcr flux reliability important attribute focus design device
bcr prototype satisfies,bcr prototype satisfies
case chose go speed safety fast sales opinion attributes majority dialysis patients want time safety,case choose go speed safety fast sale opinion attribute majority dialysis patient want time safety
plan bringing prototypes made alter using different material would hopefully reduce cost prototype,plan bring prototype make alter use different material would hopefully reduce cost prototype
yes maybe different material would cost effective time altering device negative fashion,yes maybe different material would cost effective same time not_altering device negative fashion
agree alexandra main detriment price since high price automatically cut customers,agree alexandra main detriment price since high price automatically cut customer
time meeting,time meeting
thanks sharing please remember complete meeting submit alex,thanks share please remember complete write meeting submit alex
yes way could combine knowledge different topics make effective product,yes way could combine knowledge different topic make effective product
reminder last time meeting current team next time new design teams may new design advisor new team glad opportunity work though,just reminder last time meet current team next time new design team may new design adviser new team glad opportunity work though
hello team welcome nephrotex,hello team welcome nephrotex
maria williams design advisor internship,maria williams design adviser internship
help questions,help question
please introduce name prefer called workpro records work review external consultant improve quality internship program ask use first name internship protect privacy,please introduce name prefer call workpro record work review external consultant improve quality internship program ask use first name only internship protect privacy
please check deliverable list bottom right corner workpro,please check deliverance list bottom right corner workpro
deliverables assigned show list able check see original email instructions alex sent whether submitted deliverable whether vedant approved deliverable,deliverable assign show list able check see original email instruction alex send whether submit deliverance whether vedant approve deliverance
detailed information deliverable list click info button top right corner deliverables list tab,detailed information deliverance list click button top right corner deliverables list tab
hello looks like fun us,hello look like fun us
provided summary workflow resource shared space plagiarism tolerated make sure paraphrase summary notebook entry,provide summary workflow resource shared space plagiarism not_tolerated make sure paraphrase summary notebook entry
actually real person end talking algorithm pick keywords fun,actually real person end talk well write algorithm pick keywords fun
expected,expect
interesting seems rather inefficient many groups working,interest seem rather inefficient many group work
hm system may prove impressive yet,hm system may prove impressive yet
, 
done notebook entry submit alex clicking submit button middle notebook window,notebook entry submit alex click submit button middle notebook window
wo able edit entry submitted need update correct work cancel submission clicking x deliverables list,not_be able edit entry submit need update correct work cancel submission click x deliverables list
cancel submissions alex viewed make sure included everything required submitting,only cancel submission alex view make sure include everything require submit
completed notebook task anyone need help,complete notebook task anyone need help
please pay close attention citation methods used example know alex stickler following correct citation methods,please pay close attention citation method use example know alex stickler follow correct citation method
whats fellas lets good day kidneys,fella let us good day kidney
read raise hand,read raise hand
yooo,yooo
time get started need everyone participate meeting,time get start need everyone participate meeting
im, 
hi,hi
based surfactant graph surfactants perform relative one another,base surfactant graph surfactant perform relative one another
hello,hello
greetings,greeting
relative one another could clearly see better better ratings certain categories made top charts even though also worst another,relative one another could clearly see well well rating certain category make top chart even though also bad another
thought negative charge surfactant best,think negative charge surfactant best
agree also belive negative charge surfactant best,agree also believe negative charge surfactant best
didnt lowest rating categories although didnt best either,not_have low rating category although not_have best either
well balanced,well balance
perfectly middle,perfectly middle
actually said steric hindering one better choice,actually say steric hindering one good choice
necessarily believe ones best certain categories also worst others ex surfactant best cost worst everything else,not_necessarily believe one best certain category also bad others ex no_surfactant best cost bad everything else
marketable designs,marketable design
right,right
worst cost,no_the bad cost
best worst remember,5 best 1 bad remember
scale,scale
surfactant worst opinion,no_surfactant bad opinion
totally agreeing silas,totally agree silas
choose best surfactant,choose best surfactant
one overall performs best still lowish cost,one overall perform best still lowish cost
reason said steric hindering company main purpose make money marketable low cost reliable negative charge,reason say steric hindering company main purpose make money marketable low cost just reliable negative charge
picked negative charge option poorly category,pick negative charge only option not_do poorly category
second last blood cell reactivity,second last blood cell activity
best worst believe good enough use,not_the best bad believe good enough use
bottom line better another product good go one,bottom line well another product just good not_go one
, 
steric hindering expensive would profitable,steric hindering expensive would profitable
first costs isnt good blood cell reactivity reliability,first cost not_as good blood cell activity same reliability
sold easier,sell easy
better reactivity,well activity
yes,yes
rihgt,right
yes josh fault looked wrong one,yes jose fault look wrong one
still believe negative charge way go,still believe negative charge way go
problem bad graphms,no_problem bad graphms
team next step,team 's next step
vote,vote
us,only 3 us
actually angel hasnt said anything,4 actually angel not_said anything
oh rihgt,oh right
typing say negative charge,3 tie 2 say negative charge
point,point
think honor since angel participating right,think honor since angel not_participating right
left,leave
negative charge steric hindering good options depends value marketability cost,negative charge steric hindering good option just depend value marketability cost
dont know thing could think take average excluding flux,not_know only thing could think take average excluding flux same
honestly frivolous,honestly time consume frivolous
speaking mind sorry,just speak mind sorry
tests supposed agree,test suppose agree
yeah think everything need,yeah think everything need
well time meeting,well time meeting
good discussion today forget complete submit notebook,good discussion today not_forget complete submit notebook
point time tools testing,point time not_have tool far test
offense really limited absolutely interest entire curriculum,no_offense really limit absolutely no_interest entire curriculum
would possible combine surfactants get different interactions results,would possible combine surfactant get different interaction result
got point,get point
real world,real world
yes,yes
, 
,no
angel day late dollar short bud ended,angel day late dollar short bud end
see,see
thing data given us report room actual engineering design known class going lazy instructor part would switched different section weeks ago,thing data give spoon feed us poorly write report no_room actual engineering design know class go lazy instructor 's part would switch different section 3 week ago
anyway let make official vote negative charge type x chat,anyway let us make official vote negative charge type x chat
tell em u really feel,tell really feel _
x,x
x,x
honestly whatever,honestly whatever
, 
silas angel need vote,silas angel need vote
yeah like negative charge,yeah like negative charge
vote negative charge well,vote negative charge well
negative charge,negative charge
notebook ready go remember submit get email,notebook ready go remember not_to submit get email
email,email
long chat submit,long chat submit
, 
okay sent mine,okay send mine
, 
right,right
yes,yes
hey everyone posted mechanical engineering consultants requirements time intern find shared space,hey everyone just post write mechanical engineering consultant ' requirement time inter find write shared space
nephrotex internal consultants experts fields,nephrotex internal consultant expert field
let know questions requirements membrane design,let know question requirement membrane design
probably want check staff pages information,probably want check staff page information
yooo,yooo
ahoy,ahoy
sorry,sorry
hello fellow interns,hello fellow intern
hello wants part,hello want part
intern describe certain inputs influence outputs posted shared space reference,inter describe certain input influence output post write shared space reference
hello,hello
base research internal resources,base research internal resource
remember need consider assigned material,remember only need consider assign material
,only 3
okay take rudy hernandez marketing manager unless anyone else wants,okay take rudy hernandez marketing manager unless anyone else want
nevermind see,nevermind see
seeing people,see people
email last week,email last week
see,see
ill take alan duchamp,ill take alan duchamp
take padma rao,take padma rao
silas took rudy,silas take rudy
effect cnt percentage mean,effect cnt percentage mean
use report blends resources,use report pespvp nanotube blends resource
thank,thank
data marketability,data marketability
guess cost play,guess cost play
information getting flux based cnt info manufacturing process,only information get flux base cnt manufacture process not_vice versa
resources mean choose consultants analyze,resource mean choose consultant analyze
thats notebook,notebook
mean missing information,mean miss information
get appears given half information data anything except flux depends carbon nanotube dispersion,get appear not_being give half information no_data anything except flux depend carbon nanotube dispersion
need rest reports,need rest report
assuming exist,assume exist
correct,correct
need effect cnt percentage blood cell reactivity,need effect cnt percentage blood cell reactivity
link resources document leads error,link resource document lead 404 error
yeah problem data effect cnt percentage cost marketability,yeah same problem no_data effect cnt percentage cost marketability
works,work
sorry computer screen frozen exact way refreshed instructor,sorry computer screen freeze exact same way refresh instructor
finished notebook entry put shared space,finish notebook entry put shared space
mine well,mine well
making making one looking,make 5 make one look 5
ive made prototypes far,make 2 prototype far
looks like feeds information shared think need make one right email vague matter,look like feeds information share think only need make one right email vague matter
thats woops made lol,woops make 5 laughing loud
also question referred players fees system supposed taking sersiously,also question refer player fees system not_we suppose take seriously
hello team,hello team
hello,hello
greetings,greeting
hi,hi
need batch one person,need batch just one person
submit batch,submit same batch
shall,ok shall
guys come front room talk person,guys just come front room talk person
alloweed,not_allowed
corey prototype request seems good use,corey prototype 1 only request seem good use
joshua prototype got good balance,joshua prototype 1 get good balance
far corey joshua,far corey 1 joshua 1
next,next
silas looks good,silas 5 look good
agreed,agree
gon na say silas prototype good,go say silas prototype 4 5 good
, 
stilas stilas,corey1 john stilas 4 stilas 5
corey,corey 5
yeah thats good,yeah good
sounds like plan,sound like plan
agreed,agree
corey corey stilas stilas josh go,corey 1 corey 5 stilas 4 stilas 5 jose 1 go
silas way,silas way
funny yes think good,funny yes think good
fault silas,fault silas
appears feeds program still contains label players,appear feeds program still contain label player
brings philosophical discussion another day,bring philosophical discussion another day
players big world gods game,player big world god game
others,others
go,go
forget attach team new batch notebook,not_forget attach team 's new batch notebook
alex upload design specifications server submit justifications member team needs attach submit batch testing first team member attaches submits team batch rest team members option attach batch,alex unload design specification server submit justification member team need attach submit same batch test first team member attache submits team 's batch rest team member only option attach same batch
justifications designs,justification design
explained specification good,just explain specification good
explained good,just explain good
copy paste justification specific one chosen help,copy paste justification specific one chosen help
joshua prototype vapor method gave best midpoint blood cell reactivity flux group previously agreed negative charge surfactant best choice cnt gave best results tests shown,joshua prototype 1 vapor method give best midpoint blood cell reactivity flux group previously agree negative charge surfactant best choice 20 cnt give best result test show
corey material use pespvp material group negative charge surfactant used one surfactant agreed upon group chose one start nanotube one data testing reliability increased around nanotube used phase invertion chosen due good process also cheaper vapor deposition process,corey 1 material same only use pespvp material group negative charge surfactant use one surfactant agree upon group choose one start nanotube one 15 data test reliability increase around 15 nanotube use phase invertion choose due good process also cheap vapor deposition process
corey prototype chose change process vapor deposition see better results would arise testing compared phase invertion process lowered nanotube used one aslo see data lower becasue original testing nearly benefit,corey 2 prototype choose change process vapor deposition see good result would arise test compare phase invertion process lower nanotube use one only 10 also see data low original testing 5 10 nearly no_benefit
thats put specific ones,put specific one
example said process phase best flux rate blood cell reactivity negative charge balanced surfactant,example just say process phase best flux rate blood cell activity negative charge balanced surfactant
silas copy justifications designs chat,silas just copy justification 2 design chat
allowed,not_allowed
could copy notebook shared space,could just copy notebook share space
put shared space,just put share space
cool thanks,cool thanks
anyone see results,anyone see result
feeds,feed
received lab results internship analyze write findings remember difficult first couple times posted one old lab shared space reference remember analysis include important information concise alex want able find key points analysis quickly,receive lab result internship analyze write finding remember difficult first couple time post one old lab write ups shared space reference just remember analysis include important information concise well organize alex want able find key point analysis quickly
test message please ignore,test message please ignore
okay,okay
okay everyone let get going want hear meeting,okay everyone let us get go want hear meeting
hello everybody,hello everybody
team received batch results successful trial,team receive batch result successful trial
hello,hello
everyone today lets get goin,everyone today let us get goin
successful looking trials performed others proved better option,successful look trial perform others prove good option
think successful prototype met least minimum requirements,think successful prototype meet least minimum requirement
high results areas flux reliability proved able market well,high result area flux reliability prove able market well
think one design,think only one design around par
met standards requirements areas set experts,meet standard requirement area set expert
yeah wasnt impressive,yeah only 1 not_all impressive
better others think bad designs,good others not_think bad design
one lowest cost perform well,one low cost not_perform well
didnt perform bad,not_perform bad
sorry,sorry
less others,less others
one judging dont worry,no_one judge not_worry
, 
definitely performed worst also cheapest still met requirements,definitely perform bad also cheap still meet requirement
like cost low turn effects fields reults,like cost low turn effect field result
right,right
well thought interesting blood cell reactivity change,well think interest blood cell activity not_change
bcr,same bcr
noticed,notice
think anything pespvp type,think anything pespvp type
decide devices received results,decide 5 device just receive result
batch generally exception content nanotubes,batch generally same exception content nanotube
thought learned thought would combine make good results,think learn think would combine make good result
still similarities batch allow better comparison,still similarity batch allow good comparison
insights would good design helped yes,insight would good design help yes
knew look different designs optimized set accordingly,know look different design optimize set accordingly
used variety close options test,use variety close option test
one best wasnt silas,one best not_it silas 's
yes,yes
either silas joshua,either silas 5 joshua 1
met requirements,no_we meet requirement
, 
many could fathem,many could father
joshua great reliability,joshua 1 great reliability
weere close one,close not_both one
least hit preferred,least hit prefer
hit required thresholds preferred,hit required threshold preferred
hit prefered hit required well saying,hit preferred hit require well just say
requirements fulfilled necessarily desired goals consultant,requirement fulfil not_necessarily desired goal consultant
meant required,meant require
lets decide best would say josh expensive,let us decide best would say jose 1 expensive
attribute would everyone agree priority,attribute would everyone agree priority
reliability flux,reliability flux
reliability cost flux,reliability cost flux
cost,cost
soon switching teams sharing design experience new teams plan bring group,soon twitch team share design experience new team plan bring group
insight pespvp,insight pespvp
different set ups pespvp affect qualities device,different set ups pespvp affect quality device
insight results due pespvp appears bcr constant,insight result due pespvp appear bcr constant
well pespvp design,well pespvp design
chose silas best favor,choose silas 5 best favor
sure,sure
also choose silas,also choose silas 5
looks like good choice,looks like around good choice
thats fine,fine
yes,yes
agree,agree
yes,yes
anything else discuss,anything else discuss
okay everyone concludes discussion,okay everyone conclude discussion
thanks participating team meeting forget submit alex,thanks participate team meeting not_forget submit write alex
im loss words oh sweet alright guys talk ya later,loss word oh sweet alright gun talk later
submit notebooks done right,submit notebook right
reminder last time meeting current team next time new design teams may new design advisor new team glad opportunity work though,just reminder last time meet current team next time new design team may new design adviser new team glad opportunity work though
awesome,awesome
lets dis,let us dis
checked email start workflow resource,checked email start workflow resource
entrance interview,entrance interview
deliverable list completed log,deliverance list complete log
come cool acronym prnlt like,come cool crony prnlt would like
haha maybe,hata maybe
ca see part entrance interview screen coming white box part,not_see part entrance interview screen come white box part
ok took care,ok take care
wo system let submit completed notebook,not_the system let submit complete notebook
thank,thank
one surfactants particular strengths weaknesses,one surfactant particular strength weakness
right anyone favor anything particular,right anyone favor anything particular
surfactant vastly inferior everything else besides look solely based area best hydrophilic steric hindering,no_surfactant lastly inferior everything else besides cost look solely base area best hydrophilic steric hindering
hydrophilic surfactant example excelled reliability,hydrophilic surfactant example expel reliability
one everyone recommend,one everyone recommend
surfactant significant trade offs biological surfactant made lack reliability high cost phenomenal blood cell reactivity high marketability,surfactant significant trade e biological surfactant make lack reliability high cost phenomena blood cell activity high marketability
recommended hydrophilic surfactant,recommend hydrophilic surfactant
biological negative charge medium areas recommended hydrophilic areas made steric competitive marketability least relevant far function prototype goes blood cell reactivity actually much better proportionally although achieved higher rank,biological negative charge medium area recommend hydrophilic area make steric competitive marketability least relevant far function prototype go blood cell activity actually not_that much well proportionally although achieve high rank
believed marketability easiest characteristic overcome believe hydrophilic far away best choice,believe marketability easy characteristic overcome believe hydrophilic far away best choice
also recommend hydrophilic surfactant even though low marketability eventually doctors patients alike see benefits using surfactant,also recommend hydrophilic surfactant even though low marketability eventually doctor patient alike see benefit use surfactant
agree,agree
agreed also recommended hydrophilic membrane,agreed also recommend hydrophilic membrane
steric hindering surfactant put fight though high cost lower reliability attract surfactant,steric hindering surfactant put fight though high cost low reliability just not_attract surfactant
nope,nope
,no
negative ghostrider,negative ghostrider
agree surfactant performed best,agree no_surfactant perform best 5 5
negative charge surfactant charge sat middle ground every aspect stand aspect lean toward hydrophilic surfactant,negative charge surfactant charge sit middle ground every aspect not_stand aspect lean toward hydrophilic surfactant
ranked characteristics believed favorable ranking went reliability blood cell reactivity cost marketability,rank characteristic believe favorable banking go 1 reliability 2 blood cell activity b cost 6 marketability
